"PartNumber","PartDescription","PartDetails","UOM","UPC","PartType","Active","ABCCode","Weight","WeightUOM","Width","Height","Length","SizeUOM","PrimaryTracking","AlertNote","PictureUrl","Tracks-Lot Number","Tracks-Serial Number","Tracks-Asset Tag","Tracks-Condtion","CF-MPN","CF-Max Spec Needed","CF-Integration Manual Needed","CF-CPU Type","CF-Processor","CF-CPU Base Frequency (GHz)","CF-Screen Size","CF-Display Type","CF-Display (Long Form)","CF-Screen Resolution","CF-Touchscreen?","CF-IPS?","CF-120Hz","CF-144Hz","CF-5ms Response Time","CF-3ms Response Time","CF-G-Sync","CF-Graphics Card","CF-VRAM (GB)","CF-VR Ready?","CF-RAM Size","CF-RAM Type","CF-RAM Speed (MHz)","CF-Max RAM Capability","CF-SSD","CF-SSD Type","CF-HDD","CF-HDD Speed (RPM)","CF-Optical Drive","CF-Operating System","CF-Wireless","CF-Wifi Brand","CF-Bluetooth","CF-USB Ports","CF-USB 3.1 Type C","CF-Video Ports","CF-Thunderbolt","CF-Audio Ports","CF-Card Reader","CF-Keyboard","CF-Backlit Keyboard","CF-Fingerprint Reader","CF-Webcam","CF-Battery","CF-Power Supply (W)","CF-Item Length (in)","CF-Item Width (in)","CF-Item Height (in)","CF-Item Weight (lb)"
"LT-WIFI-055","Killer 1435 AC Wireless Card",,"ea",,"Inventory","true","N","0","lbs","0","0","0","ft",,,,"true","false","false","false","Killer 1435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LT-HP-0461-CUK-002","HP Pavilion 17 Full HD Touch – X7N62AV - i7-7700HQ, 32GB RAM, 256GB NVMe SSD + 1TB HDD, GTX 1050 4GB, Windows 10","Inputs: 2x16GB DDR4-2400, 256GB M.2 AHCI 2280, 1TB@5400 SSHD
Outputs: 1x8GB DDR4-2400, 1TB@7200","ea",,"Inventory","true","N","1","lbs","0","0","0","in","Serial Number",,,"false","true","false","false","X7N62AV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LT-HP-0462-CUK-002","HP Pavilion 17 4K – X7N62AV - i7-7700HQ, 32GB RAM, 1TB NVMe SSD + 2TB HDD, GTX 1050 4GB, Windows 10","Inputs: 2x16GB DDR4-2400, 1TB M.2 NVMe 2280, 2TB@5400 9.5mm
Outputs: 1x8GB DDR4-2400, 1TB@7200","ea",,"Inventory","true","N","1","lbs","0","0","0","in","Serial Number",,,"false","true","false","false","X7N62AV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RO-PO-0001-x2","PORTAL Turbocharged Self-Optimizing Urban WiFi Gigabit Router (2-Pack)","Inputs: 2 x Portal Router","ea",,"Inventory","true","N","0","lbs","0","0","0","ft","Serial Number",,,"false","true","false","false","Portal-PCW-110-COM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LT-MS-0212-B","MSI GT73VR Titan 4K-226 I7-6820HK 16GB RAM 1TB 7200 GTX 1070 W10","USED VERY GOOD
i7-6820HK Quad Core Processor
16GB DDR4 2133MHz RAM
1TB 7200rpm Hard Disk Drive
NVIDIA Geforce GTX 1070 8GB GDDR5
No Optical Drive
17.3"" UHD 4K eDP IPS Display (3840 x 2160)
Windows 10
Killer 1535 802.11 AC Wireless + Bluetooth 4.1
5 x USB 3.0, 1 x HDMI, 1 x mDP, 1 x Thunderbolt
8-Cell Lithium Ion Battery (75WHr)","ea",,"Inventory","true","N","0","lbs","0","0","0","ft","Serial Number",,,"false","true","false","false","4K-226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LT-MS-0232-CUK-001","MSI GS73VR Stealth Pro 4K-223 i7-7700HQ, 32GB RAM, 512GB NVMe SSD + 2TB HDD, GTX 1060 6GB, 17.3"" 4K, Windows 10","Inputs: 2x16GB DDR4 2400MHz, 2TB 5400rpm HDD
Outputs: 2x8GB DDR4 2400MHz, 1TB 7200rpm HDD","ea","824142139653","Inventory","true","N","0","lbs","0","0","0","ft","Serial Number",,,"false","true","false","false","GL62 7QF-1660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LT-MS-0234-CUK-001","MSI GS63VR Stealth Pro 4K-228 i7-7700HQ, 32GB RAM, 512GB NVMe SSD + 1TB HDD, GTX 1060 6GB, 15.6"" 4K, Windows 10","Inputs: 2x16GB DDR4 2400MHz
Outputs: 2x8GB DDR4 2400MHz","ea","824142139653","Inventory","true","N","0","lbs","0","0","0","ft","Serial Number",,,"false","true","false","false","GL62 7QF-1660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LT-MS-0225-MAX","MSI GT73VR TITAN 4K-480 - MAX","***2x8GB under motherboard. Any configurations beyond 48GB require board flip**

Inputs:
4 x 16GB DDR4 2400MHz Laptop RAM
1 x 2TB 5400rpm HDD 2.5"" 9.5mm
2 x 1TB M.2 2280 PCIe NVMe
1 x 1TB M.2 2280 SATA SSD

Outputs:
2 x 8GB DDR4 2400MHz Laptop RAM
1 x 1TB 7200rpm HDD 2.5"" 9.5mm
1 x 256GB Samsung SM951 M.2 NVMe 2280 (MZVPV256HDGL)
","ea","824142140383","Inventory","true","N","0","lbs","0","0","0","ft","Serial Number",,,"false","true","false","false","GT73VR TITAN 4K-480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LT-AS-0152","ASUS GL502VM-DS74","15.6"" FHD Matte Display (1920 x 1080) with G-SYNC 160° View-Angle
Intel Core i7-7700HQ Processor 2.8 GHz (6M Cache, up to 3.8 GHz) 45W
NVIDIA GeForce GTX 1060 6GB GDDR5
16GB RAM DDR4 2400MHz
128GB M.2 SATA SSD + 1TB 7200rpm Hard Disk Drive
No Optical Disk Drive
1 x USB 3.1, 3 x USB 3.0, 1 x HDMI, 1 x Mini Display Port, 1 x RJ-45, 1 x Card Reader
802.11 AC + Bluetooth 4.1 
HD Webcam
Illuminated Chiclet Keyboard
Windows 10 x64
4-Cell Lithium-Ion Prismatic Battery (64WHr)
15.3"" x 10.4"" x 0.9""
4.9 lbs","ea",,"Inventory","true","N","0","lbs","0","0","0","ft","Serial Number",,,"false","true","false","false","GL502VM-DB74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LT-AS-0153","ASUS GL702VM-DS74","17.3"" Full HD Display (1920 x 1080)
Intel Quad Core i7-7700HQ Processor (6MB Cache, 2.8GHz-3.8GHz) 45W
NVIDIA GeForce GTX 1060 6GB GDDR5
16GB DDR4 2400 (1x16GB)
128GB M.2 SATA3 SSD + 1TB (7200 RPM)
No Optical Drive
3 x USB 3.0, 1 x USB3.1 Type C (gen 2),1 x Headphone-out & Audio-in Combo Jack, 1 x RJ45 LAN Jack for LAN insert,  1x HDMI, 1 x mini Display Port, 1 x USB3.1-Type C(Gen2) with Thunderbolt
Backlit Chiclet Keyboard
HD Webcam
Windows 10 (64bit)
802.11 AC + Bluetooth 4.0
76 WHrs Polymer Battery
16.33"" x 11.02"" x 0.94""
5.95 lbs","ea",,"Inventory","true","N","0","lbs","0","0","0","ft","Serial Number",,,"false","true","false","false","GL702VM-DB74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
